Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
1/30/15,MARGIN INTEREST ADJUSTMENT,MARGIN INTEREST ADJUSTMENT,21.05,debit,Uncategorized,TD Ameritrade,,
1/15/15,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,3000,credit,Withdrawal,TD Ameritrade,,
1/14/15,CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),3000,debit,Uncategorized,TD Ameritrade,,
1/13/15,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,3495.16,debit,Buy,TD Ameritrade,,
1/8/15,Trade Commission,Sold 100 VTI @ 105.21,9.99,debit,Sell,TD Ameritrade,,
1/8/15,Sold 100 VTI @ 105.21,Sold 100 VTI @ 105.21,10500.78,credit,Sell,TD Ameritrade,,
12/31/14,MARGIN INTEREST ADJUSTMENT,MARGIN INTEREST ADJUSTMENT,23.11,debit,Uncategorized,TD Ameritrade,,
12/30/14,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,141.33,debit,Buy,TD Ameritrade,,
12/29/14,ORDINARY DIVIDEND (VEA),ORDINARY DIVIDEND (VEA),26.16,credit,Dividend & Cap Gains,TD Ameritrade,,
12/29/14,ORDINARY DIVIDEND (VBK),ORDINARY DIVIDEND (VBK),63.9,credit,Dividend & Cap Gains,TD Ameritrade,,
12/29/14,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,154.01,debit,Buy,TD Ameritrade,,
12/29/14,ORDINARY DIVIDEND (VTI),ORDINARY DIVIDEND (VTI),63.95,credit,Dividend & Cap Gains,TD Ameritrade,,
12/29/14,ORDINARY DIVIDEND (VTI),ORDINARY DIVIDEND (VTI),157.08,credit,Dividend & Cap Gains,TD Ameritrade,,
12/29/14,ORDINARY DIVIDEND (VTI),ORDINARY DIVIDEND (VTI),39.83,credit,Dividend & Cap Gains,TD Ameritrade,,
12/29/14,ORDINARY DIVIDEND (VB),ORDINARY DIVIDEND (VB),101.5,credit,Dividend & Cap Gains,TD Ameritrade,,
12/19/14,OFF-CYCLE INTEREST (MMDA1),OFF-CYCLE INTEREST (MMDA1),0.06,credit,Dividend & Cap Gains,TD Ameritrade,,
12/19/14,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,7319.55,credit,Withdrawal,TD Ameritrade,,
12/16/14,Trade Commission,Bought 140 VTI @ 103.28,9.99,debit,Buy,TD Ameritrade,,
12/16/14,Bought 140 VTI @ 103.28,Bought 140 VTI @ 103.28,14459.2,debit,Buy,TD Ameritrade,,
12/16/14,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,4625.47,credit,Withdrawal,TD Ameritrade,,
12/15/14,Bought 20 UCO Jan 15 2016 15.0 Call @ 2.3,Bought 20 UCO Jan 15 2016 15.0 Call @ 2.3,4625.47,debit,Buy,TD Ameritrade,,
12/5/14,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,4000,credit,Withdrawal,TD Ameritrade,,
12/4/14,CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),4000,debit,Uncategorized,TD Ameritrade,,
12/1/14,QUALIFIED DIVIDEND,QUALIFIED DIVIDEND,11.25,credit,Dividend & Cap Gains,TD Ameritrade,,
12/1/14,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,11.25,debit,Buy,TD Ameritrade,,
11/6/14,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,3000,credit,Withdrawal,TD Ameritrade,,
11/5/14,CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),3000,debit,Uncategorized,TD Ameritrade,,
10/21/14,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,50,debit,Buy,TD Ameritrade,,
10/20/14,REBATE,REBATE,50,credit,Uncategorized,TD Ameritrade,,
10/17/14,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,229,debit,Buy,TD Ameritrade,,
10/17/14,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,229,debit,Buy,TD Ameritrade,,
10/16/14,RECURRING ELECTRONIC FUNDING,RECURRING ELECTRONIC FUNDING,229,credit,Uncategorized,TD Ameritrade,,
10/16/14,RECURRING ELECTRONIC FUNDING,RECURRING ELECTRONIC FUNDING,229,credit,Uncategorized,TD Ameritrade,,
10/15/14,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,18323.96,debit,Buy,TD Ameritrade,,
10/14/14,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),18323.96,credit,Uncategorized,TD Ameritrade,,
10/9/14,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,605.75,credit,Withdrawal,TD Ameritrade,,
10/9/14,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,7214.03,credit,Withdrawal,TD Ameritrade,,
10/7/14,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,6931.75,credit,Withdrawal,TD Ameritrade,,
10/7/14,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,504.75,credit,Withdrawal,TD Ameritrade,,
10/6/14,Trade Commission,Bought 140 VTI @ 100.9699,9.99,debit,Buy,TD Ameritrade,,
